# 上海中考英文词汇表（上海市初中英语教学基本词汇表）
# 整理日期 2026-08-03 · 单词 + 词组

# 表（一）单词（Words）
序号,单词,词性(英文),词性(中文),释义
380,develop,v,动词,发展；开发，培养
381,development,n,名词,发展
382,dialogue,n,名词,对话
383,diary,n,名词,日记
384,dictionary,n,名词,词典；辞典
385,die,v,动词,死
386,diet,n,名词,食物；食谱
387,difference,n,名词,区别
388,different,adj,形容词,不同的；差异的
389,difficult,adj,形容词,困难的；艰难的
390,difficulty,n,名词,困难
391,"dig (dug, dug)",v,动词,"挖(洞,沟等)；掘"
392,dining-room,n,名词,餐厅
393,dinner,n,名词,正餐
394,dirty,adj,形容词,脏的
395,disappear,v,动词,消失
396,discover,v,动词,发现；看出
397,discuss,v,动词,讨论
398,discussion,n,名词,讨论
399,dish,n,名词,盘；碟；(盘装)菜肴
400,dishonest,adj,形容词,不诚实
401,dislike,v,动词,不喜欢
402,display,n,名词,v. 陈列，展览；显示
403,distance,n,名词,距离
404,divide,v,动词,分，划分；除
405,"do (did, done)",v,动词,干；做(事)
406,doctor,n,名词,医生
407,dog,n,名词,狗
408,dollar,n,名词,(美国、加拿大等国的货币单位) 元
409,door,n,名词,门；通道
410,down,adv,副词,向下
411,downstairs,adv,副词,往楼下；在楼下
412,"draw (drew, drawn)",v,动词,画；绘制；拉，拖
413,dream,n,名词,梦想；梦
414,dress,n,名词,服装；女装；童装
415,"drink (drank, drunk)",v,动词,喝；饮
416,drive,v,动词,驾驶；驱赶
417,driver,n,名词,驾驶员，司机
418,drop,n,名词,滴
419,dry,adj,形容词,干的；干燥的
420,duck,n,名词,鸭
421,dull,adj,形容词,乏味的
422,dumpling,n,名词,馄饨；汤团
423,during,prep,介词,在……的期间
424,duty,n,名词,责任
425,each,adj,形容词,每人；每个；每件
426,eager,adj,形容词,渴望的
427,ear,n,名词,耳朵
428,early,adj,形容词,早的
429,earth,n,名词,地球
430,easily,adv,副词,容易地
431,east,n,名词,"东, 东方"
432,easy,adj,形容词,容易的；不费力的
433,"eat (ate, eaten)",v,动词,吃
434,economy,n,名词,经济；节约
